OBJECTID,CSA2010,hhpov15,hhpov16,hhpov17,hhpov18,hhpov19,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,24.1471215351812,21.2826480475821,20.6950614058008,23.002938819129,19.17769642,63770461.7796021,38770.1655712393
2,Beechfield/Ten Hills/West Hills,11.1696522655427,11.5898463593854,10.4749073762209,10.9034267912772,8.822507815,47882527.7110596,37524.9505334171
3,Belair-Edison,18.6120712576442,19.5921528136293,20.2745771022309,22.8319451249387,22.52559727,44950030.4716797,31307.3148434597
4,Brooklyn/Curtis Bay/Hawkins Point,28.3595641646489,26.333746898263,24.2136064374542,21.5431627196333,24.59571267,176077742.748718,150987.703638772
5,Canton,2.99860529986053,2.26027397260274,3.66178428761651,2.04638472032742,2.21642764,15408538.2247314,23338.6119476477
6,Cedonia/Frankford,16.8560253306016,15.1077752117013,12.1821407451212,10.4486308020974,10.87641282,71541340.3063965,39962.5498347165
7,Cherry Hill,45.5329949238579,41.0509031198686,39.3370165745856,39.4833948339483,37.76,29144181.3516235,22305.3020666822
8,Chinquapin Park/Belvedere,8.85245901639344,10.1632438125329,10.1259181532004,6.60327522451135,7.59559979,21022590.1307373,21705.411630344
9,Claremont/Armistead,21.2662337662338,23.586347427407,24,24.6398410332836,23.88475836,61243774.4211426,40104.415980189
10,Clifton-Berea,23.6260623229462,29.2420814479638,27.6495278069255,28.4090909090909,19.2,23285233.9251099,24022.7646207842
11,Cross-Country/Cheswolde,8.1165452653486,7.14786264891381,9.89412194231471,9.21142080217539,7.803006076,38222018.3164673,26788.3018783838
12,Dickeyville/Franklintown,21.1886304909561,17.6954732510288,17.408906882591,12.1171770972037,6.145966709,35719112.4142456,31637.8174237991
13,Dorchester/Ashburton,18.8167938931298,15.3549382716049,17.4451097804391,15.7809330628803,14.70588235,34118277.1812134,27136.0757115219
14,Downtown/Seton Hill,5.45454545454545,7.08661417322835,6.81818181818181,5.69620253164557,3.744493392,20736554.4064941,21565.859394559
15,Edmondson Village,15.983393876492,11.05743424584,8.88773388773388,9.91401112797167,10.40164779,23563061.0443115,21504.551357829
16,Fells Point,6.16438356164384,3.79117464263518,3.26354679802955,4.85142510612492,5.743000718,12620515.7171631,27670.1699158053
17,Forest Park/Walbrook,20.3405865657521,18.9429373246024,19.2626728110599,17.7602799650043,16.75724638,37200535.0296631,36886.8997811279
18,Glen-Fallstaff,19.7963800904977,20.295737895042,17.7639383155397,16.7974426038942,16.9470405,46995477.4781494,48549.0046179293
19,Greater Charles Village/Barclay,23.8470873786408,25.9546209186497,18.9914163090128,17.9447852760736,13.18897638,27051213.4559937,26454.2692113332
20,Greater Govans,21.315570358035,19.2692474989126,19.5322650498051,17.988729952319,20.5,22698495.7178955,22982.125714974
21,Greater Mondawmin,18.307426597582,17.1722643553629,18.7683284457478,19.4857142857142,17.41671537,33663448.2791138,31136.7318903515
22,Greater Roland Park/Poplar Hill,3.75275938189845,3.63436123348018,2.14689265536723,1.58371040723981,1.351351351,56688145.1790161,39862.7497953118
23,Greater Rosemont,21.3292117465224,23.8935493202198,23.6338797814207,24.8810523369717,26.43212951,42204384.5406494,32559.0762211491
24,Greenmount East,25.820991629105,24.1800643086817,24.2006269592476,23.4304207119741,25.54599603,19072287.8240967,20797.4734578598
25,Hamilton,8.69700748129676,10.920245398773,8.99765533411488,6.14715926730828,6.035021889,45191100.5593872,27712.1110915054
26,Harbor East/Little Italy,38.1044487427466,31.0613437195716,26.8582755203171,28.9791437980241,25.45454545,10215859.0836182,18552.4075815937
27,Harford/Echodale,9.34170991532368,8.98338496198254,10.157096424702,9.07341215287324,5.708822726,65360039.1698608,40019.1854001996
28,Highlandtown,9.55993930197269,9.00900900900901,6.65251238499646,6.10573343261355,9.251412429,11684191.1186523,14976.1238513698
29,Howard Park/West Arlington,19.54986760812,17.4225415356983,15.4718693284936,11.458792419568,13.32125057,63262430.0730591,36034.4984469719
30,Inner Harbor/Federal Hill,7.52857705951912,2.74525635849818,2.33570863024544,2.01089233347297,3.337667967,24995836.2615967,43415.0595478862
31,Lauraville,9.35610103166133,9.67063770147162,7.488679902473,6.21836587129428,6.004213483,49665744.2354736,34419.676527973
32,Loch Raven,12.1056493030081,11.5611381697001,5.38502961766289,6.87150837988826,8.728710462,44147812.3265381,29314.3346718286
33,Madison/East End,32.8238719068413,32.3741007194245,33.7423312883435,33.5106382978723,34.44976077,8897845.19189453,13120.1587193642
34,Medfield/Hampden/Woodberry/Remington,7.13874496257916,7.39415623136553,5.98048473402581,6.06826801517067,5.385556916,62441489.2398071,43152.625699222
35,Midtown,7.5716603569497,8.06451612903226,5.41948931735278,6.24321389793702,6.522882693,23823949.9294434,25020.0969698082
36,Midway/Coldstream,25.7916241062308,23.6373748609566,22.6038781163434,23.8990017615971,23.51816444,17884471.2862549,22767.8274161904
37,Morrell Park/Violetville,12.5077784691973,14.5287958115183,12.8085390260173,11.6583541147132,10.91703057,67470845.9901123,44412.745130342
38,Mount Washington/Coldspring,5.05569837189374,3.78983634797588,1.99637023593466,2.24525043177892,2.633744856,56943058.6497192,38539.7661484899
39,North Baltimore/Guilford/Homeland,5.82491582491583,5.72556762092794,3.48289927831816,4.14237496164467,4.990757856,74923987.6937256,42904.2221443544
40,Northwood,7.97453001819284,7.60444845205891,6.60901791229153,5.66332916145181,3.549532107,52743271.7706299,38889.8945908862
41,Oldtown/Middle East,44.3850267379679,42.5,40.1262916188289,40.3614457831325,35.52631579,24585968.2341919,23866.3281788863
42,Orangeville/East Highlandtown,13.0692167577413,13.6826783114993,13.2367149758454,12.5453602903058,12.33258929,89894372.2113037,47825.8629266244
43,Patterson Park North & East,26.2806236080178,22.8329029878274,21.6876670484917,25.4124116260801,24.16869424,14507643.2044067,21786.3746601014
44,Penn North/Reservoir Hill,29.2645556690501,29.4245385450597,25.9645464025026,20.3485103991006,17.49859787,41059796.6773071,29078.8384985548
45,Pimlico/Arlington/Hilltop,17.4418604651163,19,19.1190253045923,20.4010025062656,18.21621622,30400962.0054932,24725.9340693612
46,Poppleton/The Terraces/Hollins Market,48.7209302325581,47.6545842217484,44.9723756906077,42.7821522309711,40.63260341,9302012.99926758,12334.0275347411
47,Sandtown-Winchester/Harlem Park,35.8477743798845,31.8228986509858,35.0450803606428,35.9949302915082,36.38017281,23672092.8682861,20987.1433066354
48,South Baltimore,3.70101596516691,0.81190798376184,0.826446280991735,0.20366598778004,0,46353935.4255981,68440.0258266401
49,Southeastern,26.2565641410353,29.4488188976378,30.281690140845,27.5726630007855,26.66132906,111251478.472229,102291.480547698
50,Southern Park Heights,35.9310344827586,34.8705214615112,31.6257559587335,31.0358565737051,29.75691534,27876227.5908203,24052.221372193
51,Southwest Baltimore,32.983682983683,36.0159817351598,35.7832450949859,32.0343663700521,33.66883117,37766068.8365479,28355.563581391
52,The Waverlies,14.2767295597484,18.340348767288,20.5143540669856,19.1616766467065,18.58974359,20383750.5437012,18733.826879757
53,Upton/Druid Heights,46.6466466466466,44.15,42.9824561403508,39.9041022908897,41.68526786,16976622.3380127,19389.3078212169
54,Washington Village/Pigtown,24.7403210576015,24.7887323943662,22.5742574257425,19.9306759098786,25.32299742,39343262.0375977,36962.2600947677
55,Westport/Mount Winans/Lakeland,23.7055520898316,19.8501872659176,21.8228498074454,23.5054347826086,24.04632153,45494092.9501953,42573.1244161851
